ClientID,DepotID,Product,Longitude,Latitude
1,12,16,-74.12918518424992,4.59633980921332
2,1,17,-74.02342238411416,4.755848992747571
3,9,12,-74.06261628755483,4.737073417517297
4,11,13,-74.0919800645791,4.718090835688133
5,7,11,-74.09907443884718,4.599326324555657
6,7,12,-74.12984964532981,4.574080572040297
7,12,7,-74.1488786132793,4.623949991856503
8,5,20,-74.08950946132491,4.592782484901476
9,12,7,-74.13207707277613,4.564187202556546
10,4,7,-74.07650203237249,4.697451422731561
11,5,12,-74.13930563717881,4.6360231684104205
12,6,14,-74.11858871662,4.618693335796646
13,5,17,-74.1323995962905,4.6542615124232976
14,4,12,-74.03391849094761,4.6997854157698
15,7,11,-74.07786788021494,4.680270425430017
16,7,10,-74.1168481308846,4.705858260905495
17,3,18,-74.0725744322285,4.75000401662506
18,5,8,-74.0959905790068,4.563247902805632
19,12,20,-74.09619175441775,4.553887390845046
20,4,19,-74.11095002793553,4.682545805716138
21,9,17,-74.09094972967465,4.768181916051022
22,9,13,-74.07928410008898,4.700186108405111
23,6,6,-74.09538715949357,4.645509718787372
24,5,9,-74.15102027275121,4.573992801313357
25,10,13,-74.13348963894397,4.598540639869268
26,8,13,-74.12204932591396,4.638578499823978
27,5,7,-74.10768197179168,4.579763033813512
28,7,11,-74.14019155045715,4.6227405790989655
29,7,16,-74.07024547693754,4.661173532796241
30,1,8,-74.04994492028355,4.72648261686395
31,2,11,-74.10995474049714,4.536375922748377
32,11,7,-74.11693036083204,4.689364966869026
33,6,15,-74.17108452959643,4.597990074741772
34,10,12,-74.10710626778382,4.593687888437633
35,3,20,-74.0164104944232,4.73607941041203
36,9,13,-74.11183133148573,4.689858334928232
37,9,9,-74.11442249007561,4.734003335578331
38,5,14,-74.16586565857247,4.6282815011266525
39,1,14,-74.06502637886557,4.716548249494319
40,8,14,-74.15773151784651,4.657002821437395
41,7,7,-74.1249446540444,4.562345241973484
42,10,15,-74.14697105895377,4.601335519476251
43,7,8,-74.12558914404187,4.6529489896548135
44,3,9,-74.05080707759971,4.787154156180842
45,5,8,-74.13784420905688,4.5770402195279924
46,4,12,-74.10829889676354,4.664923889653541
47,6,12,-74.19233492647052,4.606559071663643
48,12,12,-74.1324471651398,4.641322488587689
